Language,ROC-AUC Reseacher 1,ROC-AUC Reseacher 2,Artifact recall Researcher 1,Artifact recall Researcher 2,Artifact precision Researcher 1,Artifact precision Researcher 2,Model size (MiB),Training time,Prediction time per 5000 lines (s)
C++,0.958953980127783,0.9541553942253803,0.9559466019417477,0.9520247378327508,0.9820030862119664,0.9794566341256689,35.25833559570312,109.3814151575719,0.4339937769536699
Java,0.9554134347909446,0.9547700383342433,0.938161262798635,0.9403060787671234,0.9884083193877828,0.9868281915127483,42.77097640625,79.45928359863814,0.37692615761627
JavaScript,0.9517596030832217,0.9536266775241699,0.9432808641975302,0.9465736434108527,0.97550702097817,0.9755987772044925,42.45787772460936,62.932625767919234,0.3017892915521554
PHP,0.9324146937829344,0.9095865829295191,0.887920018930432,0.8766317293949494,0.9880598770508278,0.9698509323891892,37.05212526367189,90.54688078485313,0.29928076921566144
Python,0.9210114646067035,0.9145325993578655,0.8757743946295851,0.8736074522368574,0.9883167268837262,0.9847716217804044,34.483814326171874,83.67851492083632,0.30729703395641317
