,test,stat,p,h0,model
0,shapiro_stat,0.9810485243797302,0.16031363606452942,cpp - that the data was drawn from normal distribution,multilang
1,dagostino_stat,2.187213871063814,0.33500596694757023,cpp - that the data was drawn from normal distribution,multilang
0,shapiro_stat,0.9882817268371582,0.5292088985443115,multilang - that the data was drawn from normal distribution,multilang
1,dagostino_stat,1.81020042934551,0.40450134610172284,multilang - that the data was drawn from normal distribution,multilang
0,t_test_two_sided,32.65637503821894,3.357413887938125e-67,cpp is not different multilang,multilang
0,shapiro_stat,0.987808108329773,0.4941694140434265,java - that the data was drawn from normal distribution,multilang
1,dagostino_stat,1.6074194491254556,0.4476651654477939,java - that the data was drawn from normal distribution,multilang
0,shapiro_stat,0.9923552870750427,0.8463292717933655,multilang - that the data was drawn from normal distribution,multilang
1,dagostino_stat,1.2278212131399293,0.5412301868755753,multilang - that the data was drawn from normal distribution,multilang
0,t_test_two_sided,7.965358517554658,1.3320710502884677e-13,java is not different multilang,multilang
0,shapiro_stat,0.9811366200447083,0.16284500062465668,javascript - that the data was drawn from normal distribution,multilang
1,dagostino_stat,1.429583792281548,0.4892939251562085,javascript - that the data was drawn from normal distribution,multilang
0,shapiro_stat,0.9795738458633423,0.12314656376838684,multilang - that the data was drawn from normal distribution,multilang
1,dagostino_stat,6.598236294556991,0.03691570726836693,multilang - that the data was drawn from normal distribution,multilang
0,t_test_two_sided,10.965523240746084,4.840339392745558e-22,javascript is not different multilang,multilang
0,shapiro_stat,0.9781460165977478,0.0952182188630104,php - that the data was drawn from normal distribution,multilang
1,dagostino_stat,8.905116545348417,0.011648728195776009,php - that the data was drawn from normal distribution,multilang
0,shapiro_stat,0.9631285071372986,0.006762859411537647,multilang - that the data was drawn from normal distribution,multilang
1,dagostino_stat,6.513809750140498,0.038507398971678874,multilang - that the data was drawn from normal distribution,multilang
0,t_test_two_sided,13.090383533446756,1.5949368538693286e-27,php is not different multilang,multilang
0,shapiro_stat,0.9843223094940186,0.28350287675857544,python - that the data was drawn from normal distribution,multilang
1,dagostino_stat,2.092804068590314,0.3511990808848203,python - that the data was drawn from normal distribution,multilang
0,shapiro_stat,0.9926691651344299,0.8673220872879028,multilang - that the data was drawn from normal distribution,multilang
1,dagostino_stat,0.16479391640966307,0.92090632480895,multilang - that the data was drawn from normal distribution,multilang
0,t_test_two_sided,16.422735976294927,4.838162272728242e-38,python is not different multilang,multilang
