,roc-auc_cpp_researcher_1,roc-auc_cpp_researcher_2
count,100.0,100.0
mean,0.9452111202059479,0.9408236160935499
std,0.0038198936763988393,0.0033941689304099066
min,0.9363617243809828,0.9323514251063648
25%,0.9423268159988276,0.9386147182413266
50%,0.9452418215946784,0.9404323534033986
75%,0.9485495156999615,0.9435047600086157
max,0.9536251765282482,0.94710750720771
