,roc-auc_php_researcher_1,roc-auc_php_researcher_2
count,100.0,100.0
mean,0.9254839199774839,0.9043238917673598
std,0.004440269974834733,0.004089114037914997
min,0.9145494432197926,0.8936016624596295
25%,0.9223758063987555,0.9014601557413313
50%,0.9249991325159062,0.9037744050226975
75%,0.9279680365846956,0.9068147959289888
max,0.9371696933829278,0.9148898724584594
