,roc-auc_java_researcher_1,roc-auc_java_researcher_2
count,100.0,100.0
mean,0.9529188568587661,0.9516952582597853
std,0.002341036038167725,0.0023595601357847937
min,0.9476639608892168,0.9441588566746684
25%,0.9513456596779473,0.9500466151410829
50%,0.9529275718450834,0.9515915628728314
75%,0.9545669800873952,0.9534791055013727
max,0.9588077713328668,0.9568146821860312
