,roc-auc_javascript_researcher_1,roc-auc_javascript_researcher_2
count,100.0,100.0
mean,0.946919593168298,0.9480827014426108
std,0.003381554128907192,0.003175176237181176
min,0.938385146804836,0.9383700173241044
25%,0.9441499952024561,0.945930132764911
50%,0.9469195771764856,0.9481097565843573
75%,0.9496531775730825,0.9505619755865846
max,0.954021141175718,0.9544940483318564
