,roc-auc_python_researcher_1,roc-auc_python_researcher_2
count,100.0,100.0
mean,0.9170099000907755,0.9110318352701552
std,0.0019292209022757627,0.0019124160203396578
min,0.9112510562286033,0.9059722939511998
25%,0.9157646680512057,0.9098797300037716
50%,0.917129678686335,0.9111630345340903
75%,0.9182313289840933,0.9123978871846642
max,0.9214919180418134,0.916323203251788
