,test,stat,p,h0,x_label,y_label,model
0,shapiro_stat,0.9810485243797302,0.16031363606452942,cpp - that the data was drawn from normal distribution,cpp,java,cpp
1,dagostino_stat,2.187213871063814,0.33500596694757023,cpp - that the data was drawn from normal distribution,cpp,java,cpp
0,shapiro_stat,0.9897971153259277,0.648202657699585,java - that the data was drawn from normal distribution,cpp,java,cpp
1,dagostino_stat,0.16802602689017454,0.9194192912048144,java - that the data was drawn from normal distribution,cpp,java,cpp
0,t_test_one_sided,54.35132860234325,1.3378498507618126e-92,cpp is not greater than java,cpp,java,cpp
0,wilcoxon,5050.0,1.9477304626949193e-18,cpp is not greater than java,cpp,java,cpp
0,shapiro_stat,0.9810485243797302,0.16031363606452942,cpp - that the data was drawn from normal distribution,cpp,javascript,cpp
1,dagostino_stat,2.187213871063814,0.33500596694757023,cpp - that the data was drawn from normal distribution,cpp,javascript,cpp
0,shapiro_stat,0.9790306091308594,0.11168291419744492,javascript - that the data was drawn from normal distribution,cpp,javascript,cpp
1,dagostino_stat,2.650891757076544,0.26568446967196674,javascript - that the data was drawn from normal distribution,cpp,javascript,cpp
0,t_test_one_sided,53.611800960171735,3.885194535249208e-102,cpp is not greater than javascript,cpp,javascript,cpp
0,wilcoxon,5050.0,1.9477304626949193e-18,cpp is not greater than javascript,cpp,javascript,cpp
0,shapiro_stat,0.9810485243797302,0.16031363606452942,cpp - that the data was drawn from normal distribution,cpp,php,cpp
1,dagostino_stat,2.187213871063814,0.33500596694757023,cpp - that the data was drawn from normal distribution,cpp,php,cpp
0,shapiro_stat,0.9639424681663513,0.007758161053061485,php - that the data was drawn from normal distribution,cpp,php,cpp
1,dagostino_stat,8.057476004999762,0.017796775273617154,php - that the data was drawn from normal distribution,cpp,php,cpp
0,t_test_one_sided,61.95668539747109,6.3952760692504565e-86,cpp is not greater than php,cpp,php,cpp
0,wilcoxon,5050.0,1.9477304626949193e-18,cpp is not greater than php,cpp,php,cpp
0,shapiro_stat,0.9810485243797302,0.16031363606452942,cpp - that the data was drawn from normal distribution,cpp,python,cpp
