,roc-auc_python_researcher_1,roc-auc_python_researcher_2
count,100.0,100.0
mean,0.9210114646067035,0.9145325993578655
std,0.0014883306931747049,0.001626368157119997
min,0.9179820161709432,0.910026373979011
25%,0.9201026067707871,0.9134060971580841
50%,0.9208823878266252,0.9144986409099746
75%,0.9218949689743535,0.9153033982543256
max,0.9248484272722136,0.9194502384744764
