,test,stat,p,h0,x_label,y_label,model
1,dagostino_stat,1.8632680958713554,0.3939095171602871,cpp - that the data was drawn from normal distribution,java,cpp,java
0,t_test_one_sided,71.41535088500139,8.902634856951717e-111,java is not greater than cpp,java,cpp,java
0,wilcoxon,5050.0,1.9477304626949193e-18,java is not greater than cpp,java,cpp,java
0,shapiro_stat,0.9855953454971313,0.3502684533596039,java - that the data was drawn from normal distribution,java,javascript,java
1,dagostino_stat,3.8128806267440636,0.1486084456723055,java - that the data was drawn from normal distribution,java,javascript,java
0,shapiro_stat,0.9600077867507935,0.004026331473141909,javascript - that the data was drawn from normal distribution,java,javascript,java
1,dagostino_stat,10.626264323738685,0.004926472019197043,javascript - that the data was drawn from normal distribution,java,javascript,java
0,t_test_one_sided,47.13004592362053,1.6627711116459714e-86,java is not greater than javascript,java,javascript,java
0,wilcoxon,5050.0,1.9477304626949193e-18,java is not greater than javascript,java,javascript,java
0,shapiro_stat,0.9855953454971313,0.3502684533596039,java - that the data was drawn from normal distribution,java,php,java
1,dagostino_stat,3.8128806267440636,0.1486084456723055,java - that the data was drawn from normal distribution,java,php,java
0,shapiro_stat,0.945548951625824,0.00042728966218419373,php - that the data was drawn from normal distribution,java,php,java
1,dagostino_stat,24.924562121893793,3.869903212416248e-06,php - that the data was drawn from normal distribution,java,php,java
0,t_test_one_sided,79.299298697047,1.3516513514422176e-101,java is not greater than php,java,php,java
0,wilcoxon,5050.0,1.9477304626949193e-18,java is not greater than php,java,php,java
0,shapiro_stat,0.9855953454971313,0.3502684533596039,java - that the data was drawn from normal distribution,java,python,java
1,dagostino_stat,3.8128806267440636,0.1486084456723055,java - that the data was drawn from normal distribution,java,python,java
0,shapiro_stat,0.9803322553634644,0.14108410477638245,python - that the data was drawn from normal distribution,java,python,java
1,dagostino_stat,2.162421456609377,0.33918461652973814,python - that the data was drawn from normal distribution,java,python,java
0,t_test_one_sided,94.16300423722252,2.306446095260759e-112,java is not greater than python,java,python,java
0,wilcoxon,5050.0,1.9477304626949193e-18,java is not greater than python,java,python,java
0,shapiro_stat,0.9784497022628784,0.1005811095237732,javascript - that the data was drawn from normal distribution,javascript,cpp,javascript
1,dagostino_stat,2.8730704184200673,0.23775008757442118,javascript - that the data was drawn from normal distribution,javascript,cpp,javascript
0,shapiro_stat,0.9913302659988403,0.7708649039268494,cpp - that the data was drawn from normal distribution,javascript,cpp,javascript
1,dagostino_stat,0.038128719486097924,0.9811162158232326,cpp - that the data was drawn from normal distribution,javascript,cpp,javascript
0,t_test_one_sided,39.22873321547719,3.6032661304955006e-85,javascript is not greater than cpp,javascript,cpp,javascript
0,wilcoxon,5050.0,1.9477304626949193e-18,javascript is not greater than cpp,javascript,cpp,javascript
0,shapiro_stat,0.9784497022628784,0.1005811095237732,javascript - that the data was drawn from normal distribution,javascript,java,javascript
1,dagostino_stat,2.8730704184200673,0.23775008757442118,javascript - that the data was drawn from normal distribution,javascript,java,javascript
0,shapiro_stat,0.9724648594856262,0.0342344269156456,java - that the data was drawn from normal distribution,javascript,java,javascript
1,dagostino_stat,4.923382499723796,0.08529058123535317,java - that the data was drawn from normal distribution,javascript,java,javascript
0,t_test_one_sided,31.064090099170706,3.630876674575873e-71,javascript is not greater than java,javascript,java,javascript
0,wilcoxon,5049.0,2.007511961318872e-18,javascript is not greater than java,javascript,java,javascript
0,shapiro_stat,0.9784497022628784,0.1005811095237732,javascript - that the data was drawn from normal distribution,javascript,php,javascript
1,dagostino_stat,2.8730704184200673,0.23775008757442118,javascript - that the data was drawn from normal distribution,javascript,php,javascript
0,shapiro_stat,0.963103711605072,0.00673469016328454,php - that the data was drawn from normal distribution,javascript,php,javascript
1,dagostino_stat,11.895177084312548,0.002612131975709338,php - that the data was drawn from normal distribution,javascript,php,javascript
0,t_test_one_sided,60.65015101091364,7.380421350735037e-90,javascript is not greater than php,javascript,php,javascript
0,wilcoxon,5050.0,1.9477304626949193e-18,javascript is not greater than php,javascript,php,javascript
0,shapiro_stat,0.9784497022628784,0.1005811095237732,javascript - that the data was drawn from normal distribution,javascript,python,javascript
1,dagostino_stat,2.8730704184200673,0.23775008757442118,javascript - that the data was drawn from normal distribution,javascript,python,javascript
0,shapiro_stat,0.9813840389251709,0.17015810310840607,python - that the data was drawn from normal distribution,javascript,python,javascript
1,dagostino_stat,2.9527690930112356,0.22846219143783258,python - that the data was drawn from normal distribution,javascript,python,javascript
0,t_test_one_sided,91.4192239893002,1.3149980470374812e-135,javascript is not greater than python,javascript,python,javascript
0,wilcoxon,5050.0,1.9477304626949193e-18,javascript is not greater than python,javascript,python,javascript
0,shapiro_stat,0.9902240633964539,0.6827149987220764,php - that the data was drawn from normal distribution,php,cpp,php
1,dagostino_stat,0.5520909642562739,0.75877841911913,php - that the data was drawn from normal distribution,php,cpp,php
0,shapiro_stat,0.9581286907196045,0.0029642200097441673,cpp - that the data was drawn from normal distribution,php,cpp,php
1,dagostino_stat,8.413987111336555,0.0148910702813048,cpp - that the data was drawn from normal distribution,php,cpp,php
0,t_test_one_sided,9.035110403309824,9.232408035079156e-16,php is not greater than cpp,php,cpp,php
0,wilcoxon,4482.0,8.551545621772e-12,php is not greater than cpp,php,cpp,php
