,roc-auc_php_researcher_1,roc-auc_php_researcher_2
count,100.0,100.0
mean,0.9324146937829344,0.9095865829295191
std,0.0028837997528626935,0.0028457621734343714
min,0.9221722187255116,0.902515942991676
25%,0.9305872963701572,0.9077339212736495
50%,0.932571726476482,0.9094641644905648
75%,0.9343974491630225,0.9116518616767355
max,0.938575620034256,0.91605226137916
