,roc-auc_java_researcher_1,roc-auc_java_researcher_2
count,100.0,100.0
mean,0.9554134347909446,0.9547700383342433
std,0.0020802929846326624,0.0020587819234587743
min,0.9495937603433589,0.9498100581796488
25%,0.9539624588074324,0.9533391253198263
50%,0.9555581197288436,0.954642939922954
75%,0.9569904629710015,0.9564613066254367
max,0.959502698090582,0.9589616064626486
