,roc-auc_cpp_researcher_1,roc-auc_cpp_researcher_2
count,100.0,100.0
mean,0.958953980127783,0.9541553942253803
std,0.0017658995523951737,0.0018445604469765388
min,0.9550784555957244,0.9495169880705808
25%,0.9580320668773636,0.9531586087129373
50%,0.958880602482385,0.954038849862018
75%,0.9599273770997072,0.9552395545772066
max,0.963830656672452,0.9594107442794514
