,roc-auc_javascript_researcher_1,roc-auc_javascript_researcher_2
count,100.0,100.0
mean,0.9517596030832217,0.9536266775241699
std,0.0028367415513417997,0.0026654781788439303
min,0.9438247617219984,0.9457066558091636
25%,0.9502608664363845,0.9519815342610112
50%,0.9516539531759739,0.9537672742078414
75%,0.9533874656176038,0.9550221341380659
max,0.9587555171752062,0.9593998834415092
